"asn_number","organization_name","organization_country","rir_registry","asn_type","is_known_hosting","is_known_vpn","first_seen","last_seen","unique_ip_count","total_session_count","enrichment","enrichment_updated_at","created_at","updated_at"
214996,"netcup GmbH","AT",NULL,NULL,False,False,"2025-11-06 19:00:25.823511+00","2025-11-06 19:00:25.851379+00",0,0,"{}",NULL,"2025-11-06 19:00:25.823511+00","2025-11-06 19:00:25.851379+00"
215025,"Net.com Shpk","AL",NULL,NULL,False,False,"2025-11-06 19:01:02.447764+00","2025-11-06 19:01:02.447764+00",0,0,"{}",NULL,"2025-11-06 19:01:02.447764+00","2025-11-06 19:01:02.447764+00"
215026,"Len Service SRL","NL",NULL,NULL,False,False,"2025-11-06 19:02:20.835613+00","2025-11-06 19:02:20.835613+00",0,0,"{}",NULL,"2025-11-06 19:02:20.835613+00","2025-11-06 19:02:20.835613+00"
215068,"Eniyisunucum Veri Merkezi Bilisim Hizmetleri Ticaret Ve Sanayi Limited Sirketi","AE",NULL,NULL,False,False,"2025-11-06 19:03:29.386129+00","2025-11-06 19:03:29.386129+00",0,0,"{}",NULL,"2025-11-06 19:03:29.386129+00","2025-11-06 19:03:29.386129+00"
215125,"Church of Cyberology","NL",NULL,NULL,False,False,"2025-11-06 19:01:17.598247+00","2025-11-06 19:01:17.654304+00",0,0,"{}",NULL,"2025-11-06 19:01:17.598247+00","2025-11-06 19:01:17.654304+00"
215182,"Avelacom Business Ltd.","RU",NULL,NULL,False,False,"2025-11-06 19:01:18.394175+00","2025-11-06 19:01:18.394175+00",0,0,"{}",NULL,"2025-11-06 19:01:18.394175+00","2025-11-06 19:01:18.394175+00"
215284,"Nest LLC","AZ",NULL,NULL,False,False,"2025-11-06 19:01:03.647202+00","2025-11-06 19:01:03.647202+00",0,0,"{}",NULL,"2025-11-06 19:01:03.647202+00","2025-11-06 19:01:03.647202+00"
215285,"Bonyan Sepehr Kasir PJSC","IR",NULL,NULL,False,False,"2025-11-06 19:02:06.358815+00","2025-11-06 19:02:06.364693+00",0,0,"{}",NULL,"2025-11-06 19:02:06.358815+00","2025-11-06 19:02:06.364693+00"
215311,"Regxa Company for Information Technology Ltd","IQ",NULL,NULL,False,False,"2025-11-06 19:01:18.702728+00","2025-11-06 19:01:18.702728+00",0,0,"{}",NULL,"2025-11-06 19:01:18.702728+00","2025-11-06 19:01:18.702728+00"
215342,"Teranet OOD","BG",NULL,NULL,False,False,"2025-11-06 19:03:25.07425+00","2025-11-06 19:03:25.325039+00",0,0,"{}",NULL,"2025-11-06 19:03:25.07425+00","2025-11-06 19:03:25.325039+00"
215346,"Big Data Host LLC","NL",NULL,NULL,False,False,"2025-11-06 19:01:18.99795+00","2025-11-06 19:01:18.99795+00",0,0,"{}",NULL,"2025-11-06 19:01:18.99795+00","2025-11-06 19:01:18.99795+00"
215355,"Alice Networks Ltd","US",NULL,NULL,False,False,"2025-11-06 19:02:01.539467+00","2025-11-06 19:03:29.139091+00",0,0,"{}",NULL,"2025-11-06 19:02:01.539467+00","2025-11-06 19:03:29.139091+00"
215419,"Karizanta LTD","NL",NULL,NULL,False,False,"2025-11-06 19:01:47.220954+00","2025-11-06 19:01:47.220954+00",0,0,"{}",NULL,"2025-11-06 19:01:47.220954+00","2025-11-06 19:01:47.220954+00"
215421,"LikeNet LLC","AM",NULL,NULL,False,False,"2025-11-06 19:02:07.509642+00","2025-11-06 19:02:07.509642+00",0,0,"{}",NULL,"2025-11-06 19:02:07.509642+00","2025-11-06 19:02:07.509642+00"
215439,"Play2go International Limited","DE",NULL,NULL,False,False,"2025-11-06 19:02:56.903427+00","2025-11-06 19:03:34.343067+00",0,0,"{}",NULL,"2025-11-06 19:02:56.903427+00","2025-11-06 19:03:34.343067+00"
215476,"Inside Network LTD","DE",NULL,NULL,False,False,"2025-11-06 19:03:06.280192+00","2025-11-06 19:03:06.290241+00",0,0,"{}",NULL,"2025-11-06 19:03:06.280192+00","2025-11-06 19:03:06.290241+00"
215540,"Global Connectivity Solutions Llp","DE",NULL,NULL,False,False,"2025-11-06 19:00:11.271593+00","2025-11-06 19:03:25.148539+00",0,0,"{}",NULL,"2025-11-06 19:00:11.271593+00","2025-11-06 19:03:25.148539+00"
215590,"DpkgSoft International Limited","DE",NULL,NULL,False,False,"2025-11-06 15:54:07.744549+00","2025-11-06 19:03:34.235392+00",0,0,"{}",NULL,"2025-11-06 15:54:07.744549+00","2025-11-06 19:03:34.235392+00"
215672,"MoeChuang Network Limited","HK",NULL,NULL,False,False,"2025-11-06 19:02:45.045265+00","2025-11-06 19:03:13.467859+00",0,0,"{}",NULL,"2025-11-06 19:02:45.045265+00","2025-11-06 19:03:13.467859+00"
215703,"Freakhosting","DE",NULL,NULL,False,False,"2025-11-06 19:01:01.237054+00","2025-11-06 19:02:41.520332+00",0,0,"{}",NULL,"2025-11-06 19:01:01.237054+00","2025-11-06 19:02:41.520332+00"
215730,"H2nexus Ltd","DE",NULL,NULL,False,False,"2025-11-06 18:59:27.782762+00","2025-11-06 19:03:34.441406+00",0,0,"{}",NULL,"2025-11-06 18:59:27.782762+00","2025-11-06 19:03:34.441406+00"
215778,"Alpha Strike Labs GmbH","HK",NULL,NULL,False,False,"2025-11-06 19:01:19.249181+00","2025-11-06 19:01:19.297007+00",0,0,"{}",NULL,"2025-11-06 19:01:19.249181+00","2025-11-06 19:01:19.297007+00"
215814,"Sinamo 2017 LLC","TJ",NULL,NULL,False,False,"2025-11-06 19:01:01.339743+00","2025-11-06 19:01:01.345802+00",0,0,"{}",NULL,"2025-11-06 19:01:01.339743+00","2025-11-06 19:01:01.345802+00"
215826,"Partner Hosting LTD","NL",NULL,NULL,False,False,"2025-11-06 19:01:19.799929+00","2025-11-06 19:02:15.716498+00",0,0,"{}",NULL,"2025-11-06 19:01:19.799929+00","2025-11-06 19:02:15.716498+00"
215859,"Hetzner Online GmbH","SG",NULL,NULL,False,False,"2025-11-06 19:02:42.305903+00","2025-11-06 19:02:42.305903+00",0,0,"{}",NULL,"2025-11-06 19:02:42.305903+00","2025-11-06 19:02:42.305903+00"
