"attack_date","session_count","avg_commands","stddev_commands","avg_login_attempts","avg_file_downloads","avg_ssh_injections","vt_flagged_ratio","dshield_flagged_ratio","download_ratio","ssh_injection_ratio","avg_duration_seconds","stddev_duration_seconds","avg_risk_score","max_risk_score"
"2025-10-24","140","0.83571428571428571429","4.0136649935401920","0.43571428571428571429","0.05714285714285714286","0.03571428571428571429","0","0","0.03571428571428571","0.03571428571428571","11.4611024571428571","15.6353329546274108","4.2857142857142857",100
"2025-10-23","123","0.35772357723577235772","2.7938165954238634","0.60975609756097560976","0.01626016260162601626","0.01626016260162601626","0","0","0.016260162601626018","0.016260162601626018","8.9255778943089431","14.3405709068284466","1.6260162601626016",100
"2025-10-22","293","0.53583617747440273038","3.3335538443745351","0.56655290102389078498","0.03071672354948805461","0.02389078498293515358","0","0","0.027303754266211604","0.023890784982935155","9.8588929283276451","17.8095054650071799","2.7303754266211604",100
"2025-10-21","1","0.00000000000000000000",NULL,"1.00000000000000000000","0.00000000000000000000","0.00000000000000000000","0","0","0","0","120.0011190000000000",NULL,"0.00000000000000000000",0
"2025-10-20","590","0.62033898305084745763","3.5250632891050209","0.92881355932203389831","0.05932203389830508475","0.03050847457627118644","0","0","0.03220338983050847","0.030508474576271188","4.8183300610169492","14.0313427701663074","3.4576271186440678",100
"2025-10-19","75","1.0533333333333333","4.5586073422593551","0.70666666666666666667","0.04000000000000000000","0.04000000000000000000","0","0","0.04","0.04","11.8972022400000000","20.9153030273830361","5.3333333333333333",100
"2025-10-18","449","1.0400890868596882","4.5931039138554646","0.71269487750556792873","0.06458797327394209354","0.04899777282850779510","0","0","0.04899777282850779","0.04899777282850779","21.6122588106904232","39.8403204812228077","4.8106904231625835",100
"2025-10-17","984","0.83739837398373983740","4.0962459229245117","0.91971544715447154472","0.05386178861788617886","0.04369918699186991870","0","0","0.04573170731707317","0.04369918699186992","10.9012023831300813","28.9661456084606350","4.3902439024390244",100
"2025-10-16","2290","0.93231441048034934498","4.2175706824157391","0.90262008733624454148","0.07467248908296943231","0.05676855895196506550","0","0","0.058078602620087336","0.056768558951965066","8.0678448864628821","23.0389454556640293","5.3362445414847162",100
"2025-10-15","515","1.4000000000000000","5.2069244527656956","0.73786407766990291262","0.10485436893203883495","0.06601941747572815534","0","0","0.06601941747572816","0.06601941747572816","10.7755715922330097","25.3627054522171598","6.7961165048543689",100
"2025-10-14","875","1.0342857142857143","4.5332450362853993","0.80571428571428571429","0.06514285714285714286","0.04914285714285714286","0","0","0.04914285714285714","0.04914285714285714","11.5747015737142857","27.6383128270439671","5.0285714285714286",100
"2025-10-13","7548","0.45747217806041335453","3.0106332595398235","0.87533121356650768415","0.03444621091679915209","0.02662957074721780604","0","0","0.026894541600423955","0.026629570747217807","11.7343274005034446","29.3237324107796314","2.5251722310545840",100
"2025-10-12","8304","0.27396435452793834297","2.3593707350435318","0.78299614643545279383","0.01782273603082851638","0.07105009633911368015","0","0","0.014571290944123315","0.014210019267822735","13.5557723699421965","31.8453407199716040","1.4222061657032755",100
"2025-10-11","8329","0.47220554688437987754","3.1047168954629456","0.83647496698283107216","0.03109617000840437027","0.11646055949093528635","0","0","0.023772361628046586","0.023292111898187057","16.4059217197742826","34.5508179930973255","2.3364149357665986",100
"2025-10-10","10010","0.47552447552447552448","3.1491149736148106","0.86073926073926073926","0.02717282717282717283","0.10839160839160839161","0","0","0.02177822177822178","0.021678321678321677","12.0278651102897103","29.0221023257146488","2.2517482517482517",100
"2025-10-09","7042","0.38525986935529679068","2.8478879611546770","0.81525134904856574837","0.01917069014484521443","0.09514342516330587901","0","0","0.019028685032661176","0.019028685032661176","14.5463840962794661","31.9053229338737532","1.9057086055097984",100
"2025-10-08","9734","0.47780973905896856380","3.1611842858236416","0.85319498664475035956","0.02352578590507499486","0.11506061228682966920","0","0.10735566057119375","0.023525785905074995","0.023012122457365933","13.6769344250051366","31.8731171607785144","2.3197041298541196",100
"2025-10-07","8180","0.39755501222493887531","2.8810028493229797","0.85831295843520782396","0.02029339853300733496","0.10085574572127139364","0","0.10794621026894866","0.020171149144254278","0.020171149144254278","14.5151956081907090","33.6367120600655261","2.0036674816625917",100
"2025-10-06","7270","0.40041265474552957359","2.9025868027469051","0.83892709766162310867","0.01843191196698762036","0.08940852819807427785","0","0.15240715268225585","0.01843191196698762","0.017881705639614855","14.0832612202200825","31.9074732665644967","1.9449793672627235",100
"2025-10-05","7958","0.51306861020356873586","3.2156409894525670","0.81666247800955013823","0.03581301834631817039","0.13194269917064589093","0","0.13194269917064588","0.026765518974616737","0.026388539834129178","14.4795813234481025","32.6951215302023229","2.6413671776828349",100
"2025-10-04","1174","0.29131175468483816014","2.3208847160545272","0.52725724020442930153","0.01618398637137989779","0.07240204429301533220","0","0.02129471890971039","0.014480408858603067","0.014480408858603067","16.8913498586030664","23.2520432378132306","1.9420783645655877",100
"2025-10-03","4358","0.11289582377237264800","1.4644792224073981","0.88572739788893988068","0.01009637448370812299","0.04015603487838458008","0","0.013538320330426802","0.008260670032124828","0.008031206975676917","6.2810433898577329","14.4698540050475227","0.71133547498852684718",100
"2025-10-02","803","0.49315068493150684932","3.0142455474642215","0.55915317559153175592","0.04109589041095890411","0.18057285180572851806","0","0.047322540473225407","0.037359900373599","0.0361145703611457","13.2613915056039851","21.1119288047298412","3.3125778331257783",100
"2025-10-01","1101","1.1852861035422343","4.8172230434025505","0.72661217075386012716","0.08446866485013623978","0.22706630336058128974","0","0.03360581289736603","0.05631244323342416","0.055404178019981834","7.4631184105358765","15.9247357283204047","5.7947320617620345",100
"2025-09-30","907","0.92613009922822491731","4.2680664848944598","0.67475192943770672547","0.05843439911797133407","0.18522601984564498346","0","0.020948180815876516","0.047409040793825796","0.04630650496141125","9.2949921742006615","16.8479258077275256","4.7409040793825799",100
"2025-09-29","494","0.55060728744939271255","3.2088350453874414","0.48178137651821862348","0.04655870445344129555","0.10526315789473684211","0","0.016194331983805668","0.03441295546558704","0.02631578947368421","12.8826047145748988","21.2166095664780147","3.2793522267206478",100
"2025-09-28","753","1.0199203187250996","4.4289156847448137","0.76361221779548472776","0.07569721115537848606","0.19123505976095617530","0","0.0199203187250996","0.04780876494023904","0.04780876494023904","8.8383816759628154","19.1864616793080246","5.1792828685258964",100
