"attack_date","session_count","total_commands","avg_commands_per_session","total_file_downloads","total_login_attempts","total_ssh_key_injections","vt_flagged_sessions","dshield_flagged_sessions","avg_duration_seconds","command_count_stddev"
"2025-03-04","43206","35812","0.82886636115354348933","5804","42476","5372","0","1220","3.5746958442345970","3.3848428216890786"
"2025-03-03","39890","34241","0.85838556029079969917","4847","39235","7643","0","713","3.6412106704186513","3.6310484054888889"
"2025-03-02","41884","42986","1.02631076305987966765","5804","40983","10148","0","1183","3.8620532385397765","3.9996627533114009"
"2025-03-01","45101","77852","1.7261701514378839","7474","44349","11588","0","1501","4.1919907712467573","5.5164503058731147"
"2025-02-28","46987","64744","1.3779130397769596","7469","46196","12908","0","776","4.0643056759529231","4.7729765377884289"
"2025-02-27","45455","49718","1.09378506214937850621","7540","44779","17108","0","958","3.7025716511274887","3.9295597172502819"
"2025-02-26","43442","66825","1.5382579070945168","7905","42498","20532","0","1626","4.2374750018645550","4.9887581439516743"
"2025-02-25","37239","51027","1.3702569886409409","7228","36631","18825","0","959","3.9773259923198797","4.5156895586073352"
"2025-02-24","41580","45487","1.09396344396344396344","7432","40994","20529","0","1233","3.7599186249639250","3.8439455988304147"
"2025-02-23","39461","43823","1.1105395200324371","6972","38911","19320","0","0","3.5586445235802438","3.9190032641256545"
"2025-02-22","42088","43035","1.02250047519482988025","7502","41611","20847","0","0","3.4055401755607299","3.6212692120520492"
"2025-02-21","15300","13680","0.89411764705882352941","2618","14975","7395","0","0","3.8219076987581699","3.2891512017089552"
"2025-02-20","572","326","0.56993006993006993007","15","277","24","0","0","19.1248607080419580","3.8204452288201576"
"2025-02-19","485","301","0.62061855670103092784","12","175","30","0","0","14.4436563773195876","3.8537825720277545"
"2025-02-18","570","284","0.49824561403508771930","9","243","21","0","0","24.6613240649122807","3.3460356748634288"
"2025-02-17","609","516","0.84729064039408866995","22","280","21","0","0","13.8820532446633826","5.0479278626489551"
"2025-02-16","733","119","0.16234652114597544338","4","135","8","0","0","23.1074454815825375","1.7523133671206349"
"2025-02-15","709","158","0.22284908321579689704","6","223","6","0","0","18.1801593215796897","2.3622471600725973"
"2025-02-14","1291","269","0.20836560805577072037","10","488","16","0","0","21.7491413508907823","2.2278974082250662"
"2025-02-13","720","350","0.48611111111111111111","14","436","28","0","0","10.5186280166666667","3.1472577000863130"
"2025-02-12","548","365","0.66605839416058394161","21","240","22","0","0","15.8314016332116788","4.0580541905904277"
"2025-02-11","943","272","0.28844114528101802757","13","684","16","0","0","9.8080645715800636","2.6007397299160613"
"2025-02-10","4","0","0.00000000000000000000","0","1","0","0","0","1.02257225000000000000","0"
"2025-02-06","551","135","0.24500907441016333938","6","142","12","0","0","17.7549887949183303","2.0967176837552668"
"2025-02-05","586","401","0.68430034129692832765","17","248","30","0","0","15.1109090511945392","3.8817115713710779"
"2025-02-04","699","447","0.63948497854077253219","27","256","12","0","0","19.6808758340486409","4.4165536186236938"
"2025-02-03","511","196","0.38356164383561643836","14","89","4","0","0","18.3731860332681018","3.2740278957835801"
"2025-02-02","535","276","0.51588785046728971963","13","258","14","0","0","14.7143309626168224","3.3835952980457018"
"2025-02-01","528","83","0.15719696969696969697","12","226","8","0","0","10.7556199905303030","1.6598579369923477"
"2025-01-31","484","137","0.28305785123966942149","5","155","10","0","0","11.0149910888429752","2.3609228440877376"
"2025-01-30","818","421","0.51466992665036674817","28","302","36","0","0","16.9491209376528117","3.3198199286230107"
"2025-01-29","524","387","0.73854961832061068702","22","310","26","0","0","8.3593510133587786","4.4749528764110221"
"2025-01-28","775","578","0.74580645161290322581","28","559","30","0","0","6.6851226490322581","4.3053544979097251"
"2025-01-27","240","323","1.3458333333333333","16","119","14","0","0","13.2064413750000000","5.7326400970727482"
"2025-01-26","442","422","0.95475113122171945701","19","286","14","0","0","13.0150749909502262","5.2612249124749688"
"2025-01-25","416","378","0.90865384615384615385","24","273","18","0","0","8.6642570889423077","5.0215268753046476"
"2025-01-24","769","509","0.66189856957087126138","31","407","30","0","0","14.2954098907672302","4.1410819131687642"
"2025-01-23","1225","1024","0.83591836734693877551","54","995","42","0","0","8.2751596089795918","4.8651773499971650"
"2025-01-22","734","536","0.73024523160762942779","39","470","30","0","0","10.9210572765667575","4.4658150621106673"
"2025-01-21","972","960","0.98765432098765432099","54","661","46","0","0","8.7151713045267490","5.2981013885377267"
