snapshot_asn,snapshot_country,snapshot_ip_type,session_count,days_active,avg_commands,avg_duration_sec,total_downloads,total_ssh_injections,asn_concentration,countries_per_asn
27747,AR,,1012,31,1.1897233201581028,4.1073893250988142,150,305,0.00072605281245022736,1
9534,MY,,1011,37,0.92383778437190900099,4.3361797052423343,132,237,0.00072533536895966389,1
9269,HK,,1004,102,0.30478087649402390438,19.8901975278884462,36,37,0.00072031326452571963,1
398324,XX,,1003,163,0.00000000000000000000,8.9730679122632104,0,0,0.00071959582103515617,1
24945,UA,,999,17,0.64364364364364364364,2.3939856796796797,126,137,0.00071672604707290230,1
3216,RU,,987,49,1.0445795339412361,4.5921004265450861,120,174,0.00070811672518614071,1
132203,XX,,986,31,0.63387423935091277890,6.2043359452332657,52,86,0.00070739928169557725,1
47331,TR,,971,144,0.76519052523171987642,12.9346038228630278,59,84,0.00069663762933712526,1
9808,CN,,944,25,0.32309322033898305085,50.3902752944915254,25,60,0.00067726665509191169,1
577,CA,,943,25,1.1410392364793213,2.0767392831389183,125,283,0.00067654921160134822,1
131353,VN,,935,23,1.1550802139037433,4.7258922074866310,135,260,0.00067080966367684049,1
17882,MN,,905,13,1.8342541436464088,4.1527070055248619,172,377,0.00064928635895993652,1
133817,ID,,892,11,1.4719730941704036,4.3460270605381166,153,268,0.00063995959358261147,1
131386,VN,,882,33,0.99546485260770975057,4.4565624829931973,89,117,0.00063278515867697681,1
18187,PH,,876,17,0.91438356164383561644,3.5383459280821918,139,155,0.00062848049773359601,1
141995,SG,,869,22,1.6075949367088608,6.3955023670886076,145,138,0.00062345839329965175,1
152194,SG,,866,26,1.1824480369515012,7.0163455773672055,123,161,0.00062130606282796136,1
45773,PK,,866,30,0.94688221709006928406,3.9734116212471132,104,146,0.00062130606282796136,1
41745,GB,,861,31,1.2845528455284553,2.4398693507549361,143,187,0.00061771884537514403,1
58519,CN,,855,23,0.24795321637426900585,49.9166404152046784,15,19,0.00061341418443176323,1
270515,BR,,844,32,1.1848341232227488,2.5988068921800948,123,149,0.00060552230603556511,1
3132,PE,,842,39,1.1377672209026128,2.4983710617577197,101,136,0.00060408741905443818,1
11664,AR,,840,26,1.0892857142857143,3.2545360880952381,116,152,0.00060265253207331125,1
6799,GR,,838,52,1.2565632458233890,5.7328576026252983,107,142,0.00060121764509218431,1
150436,XX,,834,35,0.69424460431654676259,14.2736312589928058,51,84,0.00059834787112993045,1
8359,RU,,829,58,0.20265379975874547648,9.5677339240048251,10,22,0.00059476065367711312,1
215590,GB,,811,7,0.95191122071516646116,2.2339740246609125,134,333,0.00058184667084697074,1
138995,ZA,,807,26,1.1784386617100372,4.2255245923172243,125,148,0.00057897689688471688,1
22724,EC,,803,15,1.3985056039850560,2.4773174844333748,122,176,0.00057610712292246301,1
36947,DZ,,800,31,1.3762500000000000,3.5091563062500000,116,187,0.00057395479245077261,1
270133,MX,,799,18,0.85607008760951188986,1.7503928585732165,104,146,0.00057323734896020915,1
151858,XX,,793,32,0.94199243379571248424,4.7142535926860025,72,117,0.00056893268801682835,1
17858,KR,,777,101,1.0630630630630631,9.7551664144144144,88,145,0.00055745359216781290,1
26599,BR,,775,38,1.6619354838709677,4.0008916709677419,140,261,0.00055601870518668597,1
12338,ES,,771,12,0.93774319066147859922,3.9270137833981842,121,329,0.00055314893122443211,1
140825,VN,,766,36,0.96475195822454308094,3.7904945143603133,88,112,0.00054956171377161478,1
329244,NG,,761,39,0.00000000000000000000,13.0855989724047306,0,0,0.00054597449631879745,1
51559,TR,,755,27,1.1748344370860927,2.9788518238410596,110,185,0.00054166983537541666,1
17557,PK,,754,47,1.1047745358090186,6.1863785822281167,83,109,0.00054095239188485319,1
